Year,Full Name,AI_AN Prev Cases,AI_AN Prev Rates,Asian Prev Cases,Asian Prev Rates,Black Prev Cases,Black Prev Rates,Latino Prev Cases,Latino Prev Rates,Multi Prev Cases,Multi Prev Rates,NH_OPI Prev Cases,NH_OPI Prev Rates,White Prev Cases,White Prev Rates
2011,California,251,180.6,3384,79.5,18131,985.7,37463,345.6,4402,687.7,175,155.3,44891,339.1
2011,Colorado,51,187.5,83,69.9,1388,876,2099,267.9,203,312.1,7,145.7,6143,200.5
2011,Connecticut,7,118.7,64,55.2,3155,1116.9,3429,908.5,265,783.9,3,296.2,3054,138
2011,Delaware,3,120,5,20.1,1785,1156.9,263,483.6,129,1237.5,0,0,843,164
2011,District of Columbia,11,909.8,56,271.3,9813,3794.5,1038,2131.3,908,9347.3,5,2451,2282,1125.7
2011,Florida,41,97.4,292,72.3,43839,1855.7,19188,537.1,2277,1278.1,23,241.1,24994,257.9
2011,Georgia,16,86.9,135,49.7,27508,1153.9,2787,451.3,2479,2744.2,10,225.1,8520,184.5
2011,Hawaii,3,117.5,325,69.8,115,624.6,278,308.2,252,129.9,183,175.4,1230,438.2
2011,Idaho,12,84.2,5,30.6,55,769.4,133,106,33,187.6,0,0,669,61.5
2011,Illinois,23,142.6,311,60.6,14100,944.2,5595,366.9,2080,1977,16,590.6,8871,126.5
2011,Indiana,1,8.1,88,96.7,3099,664.9,763,274.2,376,666.2,0,0,4746,106.3
2011,Iowa,4,57.6,33,69.2,348,509.2,205,189.4,111,489.9,1,65.4,1357,59.3
2011,Kansas,7,36.6,21,36.2,647,492.5,431,202.5,141,370.9,1,64.9,1432,76.2
2011,Kentucky,5,65,20,48.5,1768,645.1,365,380.3,247,676,0,0,3129,98.5
2011,Louisiana,19,82.3,45,73.5,11237,968.9,702,446.9,330,979.5,4,302.6,4174,179.1
2011,Maine,6,87.7,3,25.7,122,1051.1,92,713.9,34,272.7,0,0,1010,93.1
2011,Maryland,13,108.4,131,46.8,20089,1434.6,1713,460.1,2611,3483.8,4,175.1,3875,141.6
2011,Massachusetts,20,202.4,273,87.7,5091,1451,4597,919.1,325,500.2,2,94,7472,170.4
2011,Michigan,25,54.9,74,36.2,7566,672.5,766,242.4,519,450.3,4,203.1,4634,71.7
2011,Minnesota,95,218.8,102,58.4,2222,1068.4,647,367,274,475,3,176.7,3381,89.9
2011,Mississippi,8,74.3,9,39.8,5937,682.1,252,406.8,385,2366.6,1,124.4,1614,110.8
2011,Missouri,7,33.8,46,53.9,4394,791.5,573,369.2,351,538.7,2,42.5,5088,123.8
2011,Montana,22,49.1,0,0,13,365.7,27,124.2,27,185.7,1,185.9,388,52
2011,Nebraska,24,214.5,23,84.5,490,766.1,265,222.8,63,404.4,1,123.2,937,74
2011,Nevada,32,161.2,165,95.6,1558,897,1634,304.5,243,486.2,13,101.4,3279,257.8
2011,New Hampshire,0,0,8,32.5,116,1004.6,159,564.8,45,399.3,0,0,784,74.8
2011,New Jersey,9,88,226,36.3,14927,1590.5,8854,706,2472,3302.9,5,230.5,6371,142.3
2011,New Mexico,197,141,11,45.5,168,548.7,1362,181.4,92,468.1,1,88.8,1124,152
2011,New York,42,90.6,1255,98.2,43401,1833.9,41502,1494.1,9790,5062.9,14,210.3,21460,219.2
2011,North Carolina,141,156.5,91,50.8,15665,932.5,1775,311.8,1072,1179,7,156.6,6305,116.9
2011,North Dakota,10,37.8,0,0,34,509.4,14,134.9,9,141.8,0,0,147,28.4
2011,Ohio,9,48.6,67,40.3,7322,652.5,1122,429.7,753,643.3,1,35.8,8124,102.3
2011,Oklahoma,253,104.8,35,61.1,1125,508,444,187,294,224.4,6,182.5,2847,128.7
2011,Oregon,42,116.9,86,68.2,382,707.3,746,229,209,278.2,11,102,4375,166.7
2011,Pennsylvania,21,142,153,50.2,14627,1338.6,5146,927.8,1665,1598,16,626.5,9364,107.3
2011,Rhode Island,7,193.5,26,95,484,1035.9,557,545.6,54,439.3,1,193.8,979,138.5
2011,South Carolina,10,70.4,36,69.7,11124,1062.5,801,463.9,658,1788.4,2,107.8,3940,153.3
2011,South Dakota,46,92,3,44.9,83,1015.2,22,131.5,9,105.7,0,0,222,38
2011,Tennessee,7,48.2,48,61.1,8298,970.1,683,327.2,510,946.6,6,252.2,5541,134.7
2011,Texas,25,35.5,496,59.7,24364,1022.5,20888,288.4,3373,1703.1,11,71.3,19177,194.6
2011,Utah,18,84.1,29,60.2,187,938.5,468,182.1,58,208.6,4,22.4,1454,82.5
2011,Vermont,0,0,3,41.8,41,845.4,35,448,14,207.1,0,0,397,77.7
2011,Virginia,11,60.7,182,47.7,10625,835.4,1554,312.6,797,730.4,5,109.4,5261,117.4
2011,Washington,101,138.5,286,67,1471,758.2,1427,259.9,786,492.9,25,78.5,6558,154.5
2011,West Virginia,1,30.9,6,52,368,689.6,79,440.4,111,733.4,0,0,1069,72.2
2011,Wisconsin,18,46.1,52,49.9,1822,667.5,658,276.5,158,350.4,1,72.9,2317,57.1
2011,Wyoming,10,112.5,2,51.4,16,406.1,46,123.3,9,163.5,0,0,166,40.7
2012,Alabama,4,17.8,25,51,7208,701.6,360,269.9,650,1614.8,2,117.8,3232,117.7
2012,Alaska,139,173.4,19,55.9,84,427.6,70,213.4,43,147.4,2,33.3,293,74.9
2012,Arizona,448,216.9,139,86.4,1428,688.6,3777,258.3,376,494.3,10,104,6891,211
2012,Arkansas,4,23,13,38.4,1938,538.6,293,212.1,241,794.9,3,66.3,2038,109.9
2012,California,260,185.9,3651,83.7,18615,1006.5,39219,355.4,4490,681.8,186,162.3,45466,343.5
2012,Colorado,56,202.4,88,71.1,1445,888.8,2166,269.7,207,304,9,177.2,6290,202.9
2012,Connecticut,9,150.3,66,54.6,3208,1120,3444,883.3,238,680.1,4,394.5,3034,137.6
2012,Delaware,3,120.5,6,23.3,1814,1157.3,266,477.1,122,1116.6,0,0,867,167.9
2012,District of Columbia,11,868.9,65,303.2,10154,3901.9,1117,2197.3,973,9723.2,5,2415.5,2411,1155.5
2012,Florida,46,107,330,79,45270,1876.6,20364,552.8,2425,1308.6,26,264.9,26450,271.9
2012,Georgia,17,90.2,151,53,29051,1196.8,2958,470.7,2596,2745.9,11,239,8780,188.9
2012,Hawaii,4,152.8,330,70.5,107,542.8,282,302.3,257,130.5,187,176.4,1207,427.6
2012,Idaho,13,90.8,4,23.7,58,799.2,150,115.9,37,202.3,0,0,699,63.8
2012,Illinois,24,147,327,61.5,14523,969.9,5822,375.4,2087,1907,16,573.5,8998,128.6
2012,Indiana,2,16.1,105,107.7,3272,693.9,797,278.8,389,658.3,0,0,4834,108.1
2012,Iowa,4,57.6,38,75,367,523.6,210,188,115,483.5,0,0,1427,62.3
2012,Kansas,5,26,21,34.7,657,492.8,454,207.3,155,391.1,1,64.7,1428,75.8
2012,Kentucky,5,64.3,26,59.6,1821,655.1,391,393.5,238,625.6,0,0,3272,102.8
2012,Louisiana,19,80.7,47,75.2,11482,980.4,723,449.4,325,929.3,4,287.8,4159,177.8
2012,Maine,6,87.2,5,41.9,132,1095.6,85,637.5,33,257.6,0,0,1026,94.5
2012,Maryland,15,123.8,144,49.7,20476,1443.2,1790,465.8,2702,3469.9,4,174.1,3867,141.1
2012,Massachusetts,21,209.1,303,93,5310,1474.9,4789,918.6,369,545.2,2,93,7711,175.7
