GEO ID,State Abbreviation,State,Year,PrEP Users,PrEP Rates,Male PrEP Users,Male PrEP Rate,Female PrEP Users,Female PrEP Rate,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 55+ PrEP Users,Age 55+ PrEP Rate
45,SC,South Carolina,2016,474,11,426,21,48,2,42,5,185,29,143,23,83,13,24,2
46,SD,South Dakota,2016,69,10,65,18,4,1,4,3,30,27,20,20,12,12,3,1
47,TN,Tennessee,2016,938,17,848,31,90,3,110,10,316,36,237,28,213,24,71,4
48,TX,Texas,2016,4808,21,4521,41,287,3,466,10,1822,45,1236,33,933,27,397,6
49,UT,Utah,2016,540,23,524,44,16,1,56,9,253,56,133,33,73,23,28,5
50,VT,Vermont,2016,61,11,52,20,9,3,6,6,22,31,18,26,14,16,3,1
51,VA,Virginia,2016,1364,19,1273,37,91,3,140,10,573,50,314,29,234,20,114,5
53,WA,Washington,2016,2694,44,2559,84,135,4,257,23,983,92,716,76,555,58,215,11
54,WV,West Virginia,2016,153,10,141,18,12,2,16,6,65,30,41,18,26,11,7,1
55,WI,Wisconsin,2016,736,15,703,29,33,1,83,9,267,37,203,30,158,20,32,2
56,WY,Wyoming,2016,26,5,25,10,1,0,6,7,8,10,4,6,4,6,4,2
,US,United States,2017,100282,36.3,94236,69.8,6046,4.3,12659,24.1,40014,88.2,24061,57.9,16774,39.2,7893,8.4
1,AL,Alabama,2017,899,22,834,42,65,3,108,14,385,61,191,32,169,27,55,4
2,AK,Alaska,2017,88,15,81,26,7,2,7,6,40,34,20,21,19,21,5,3
4,AZ,Arizona,2017,1564,27,1481,51,83,3,184,16,591,62,377,44,260,31,161,8
5,AR,Arkansas,2017,391,16,363,30,28,2,49,10,167,43,107,29,59,16,17,2
6,CA,California,2017,12778,39,12271,75,507,3,1235,19,4679,78,3196,61,2474,48,1349,13
8,CO,Colorado,2017,1416,30,1346,57,70,3,170,19,600,69,338,44,226,31,95,6
9,CT,Connecticut,2017,1214,39,1115,75,99,6,203,35,475,107,268,63,183,35,91,8
10,DE,Delaware,2017,306,38,279,71,27,6,29,21,121,92,67,60,50,40,43,14
11,DC,"Washington, D.C.",2017,1869,314,1811,648,58,18,130,129,824,507,484,474,307,402,134,87
12,FL,Florida,2017,7594,42,7219,83,375,4,686,23,2648,98,1914,75,1591,57,832,12
13,GA,Georgia,2017,2656,31,2479,60,177,4,262,15,950,67,671,48,597,42,217,8
15,HI,Hawaii,2017,242,20,229,38,13,2,31,15,89,43,66,36,35,20,24,5
16,ID,Idaho,2017,184,13,171,24,13,2,27,9,85,38,42,20,23,12,8,2
17,IL,Illinois,2017,5409,50,5043,96,366,7,800,39,2297,130,1238,76,821,49,321,9
18,IN,Indiana,2017,1236,22,1118,41,118,4,188,17,495,57,270,33,213,25,82,4
19,IA,Iowa,2017,678,26,650,50,28,2,102,19,274,70,157,42,109,28,46,5
20,KS,Kansas,2017,391,16,370,31,21,2,54,11,171,45,81,23,59,17,29,4
21,KY,Kentucky,2017,595,16,563,31,32,2,63,9,243,42,150,27,104,18,43,3
22,LA,Louisiana,2017,1078,28,930,49,148,7,191,25,410,63,271,46,132,23,86,7
23,ME,Maine,2017,225,19,212,38,13,2,34,18,59,37,64,42,44,24,28,6
24,MD,Maryland,2017,2015,40,1834,75,181,7,363,39,830,99,425,55,281,33,137,8
