Indicator,Year,Full Name,FIPS,All Deaths,All Death Rates,Population
HIV deaths,2014,Mississippi,28.0,237,9.6,2467100
HIV deaths,2013,Mississippi,28.0,229,9.3,2460749
HIV deaths,2012,Mississippi,28.0,198,8.1,2449062
HIV deaths,2011,Mississippi,28.0,209,8.6,2439866
HIV deaths,2010,Mississippi,28.0,207,8.5,2429159
HIV deaths,2009,Mississippi,28.0,228,9.5,2397287
HIV deaths,2008,Mississippi,28.0,246,10.3,2389085
HIV deaths,2017,Missouri,29.0,209,4.1,5117892
HIV deaths,2016,Missouri,29.0,194,3.8,5094029
HIV deaths,2015,Missouri,29.0,172,3.4,5076572
HIV deaths,2014,Missouri,29.0,171,3.4,5059205
HIV deaths,2013,Missouri,29.0,186,3.7,5039202
HIV deaths,2012,Missouri,29.0,190,3.8,5016085
HIV deaths,2011,Missouri,29.0,184,3.7,4996001
HIV deaths,2010,Missouri,29.0,209,4.2,4977086
HIV deaths,2009,Missouri,29.0,216,4.4,4962937
HIV deaths,2008,Missouri,29.0,216,4.4,4934901
HIV deaths,2017,Montana,30.0,13,1.5,887128
HIV deaths,2016,Montana,30.0,13,1.5,875704
HIV deaths,2015,Montana,30.0,13,1.5,866602
HIV deaths,2014,Montana,30.0,10,1.2,858974
HIV deaths,2013,Montana,30.0,13,1.5,851634
HIV deaths,2012,Montana,30.0,5,0.6,843229
HIV deaths,2011,Montana,30.0,8,1.0,837028
HIV deaths,2010,Montana,30.0,11,1.3,831037
HIV deaths,2009,Montana,30.0,9,1.1,818891
HIV deaths,2008,Montana,30.0,15,1.8,813046
HIV deaths,2017,Nebraska,31.0,34,2.2,1571827
HIV deaths,2016,Nebraska,31.0,28,1.8,1560378
HIV deaths,2015,Nebraska,31.0,28,1.8,1547705
HIV deaths,2014,Nebraska,31.0,30,2.0,1537771
HIV deaths,2013,Nebraska,31.0,32,2.1,1525123
HIV deaths,2012,Nebraska,31.0,33,2.2,1514247
HIV deaths,2011,Nebraska,31.0,24,1.6,1503223
HIV deaths,2010,Nebraska,31.0,31,2.1,1494005
HIV deaths,2009,Nebraska,31.0,31,2.1,1467198
HIV deaths,2008,Nebraska,31.0,28,1.9,1457464
HIV deaths,2017,Nevada,32.0,171,6.9,2480508
HIV deaths,2016,Nevada,32.0,151,6.2,2432399
HIV deaths,2015,Nevada,32.0,126,5.3,2386830
HIV deaths,2014,Nevada,32.0,130,5.5,2343130
HIV deaths,2013,Nevada,32.0,143,6.2,2303590
HIV deaths,2012,Nevada,32.0,159,7.0,2271241
HIV deaths,2011,Nevada,32.0,131,5.9,2237368
HIV deaths,2010,Nevada,32.0,126,5.7,2223329
HIV deaths,2009,Nevada,32.0,122,5.7,2141833
HIV deaths,2008,Nevada,32.0,140,6.6,2118616
HIV deaths,2017,New Hampshire,33.0,21,1.8,1170090
HIV deaths,2016,New Hampshire,33.0,19,1.6,1161178
HIV deaths,2015,New Hampshire,33.0,29,2.5,1153654
HIV deaths,2014,New Hampshire,33.0,13,1.1,1148650
HIV deaths,2013,New Hampshire,33.0,15,1.3,1139264
HIV deaths,2012,New Hampshire,33.0,22,1.9,1133890
HIV deaths,2011,New Hampshire,33.0,14,1.2,1126337
HIV deaths,2010,New Hampshire,33.0,17,1.5,1120212
HIV deaths,2009,New Hampshire,33.0,22,2.0,1124301
HIV deaths,2008,New Hampshire,33.0,18,1.6,1119153
HIV deaths,2017,New Jersey,34.0,638,8.5,7499348
HIV deaths,2016,New Jersey,34.0,654,8.7,7478521
HIV deaths,2015,New Jersey,34.0,638,8.5,7466207
HIV deaths,2014,New Jersey,34.0,661,8.9,7453225
HIV deaths,2013,New Jersey,34.0,727,9.8,7434824
HIV deaths,2012,New Jersey,34.0,644,8.7,7408872
HIV deaths,2011,New Jersey,34.0,748,10.1,7380087
HIV deaths,2010,New Jersey,34.0,795,10.8,7345376
HIV deaths,2009,New Jersey,34.0,772,10.6,7249862
HIV deaths,2008,New Jersey,34.0,868,12.0,7204858
HIV deaths,2017,New Mexico,35.0,26,1.5,1744348
HIV deaths,2016,New Mexico,35.0,48,2.8,1738281
HIV deaths,2015,New Mexico,35.0,75,4.3,1731404
HIV deaths,2014,New Mexico,35.0,67,3.9,1727337
HIV deaths,2013,New Mexico,35.0,46,2.7,1724605
HIV deaths,2012,New Mexico,35.0,57,3.3,1715621
HIV deaths,2011,New Mexico,35.0,51,3.0,1705610
HIV deaths,2010,New Mexico,35.0,63,3.7,1690231
HIV deaths,2009,New Mexico,35.0,56,3.4,1636757
HIV deaths,2008,New Mexico,35.0,67,4.1,1620429
HIV deaths,2017,New York,36.0,1761,10.6,16640405
HIV deaths,2016,New York,36.0,1859,11.2,16665101
HIV deaths,2015,New York,36.0,1797,10.8,16665971
HIV deaths,2014,New York,36.0,1911,11.5,16650830
HIV deaths,2013,New York,36.0,1969,11.9,16606696
HIV deaths,2012,New York,36.0,2023,12.2,16540669
HIV deaths,2011,New York,36.0,2156,13.1,16458143
HIV deaths,2010,New York,36.0,2217,13.6,16361187
HIV deaths,2009,New York,36.0,2350,14.3,16409802
HIV deaths,2008,New York,36.0,2465,15.1,16332205
HIV deaths,2017,North Carolina,37.0,540,6.3,8633016
HIV deaths,2016,North Carolina,37.0,519,6.1,8522014
HIV deaths,2015,North Carolina,37.0,559,6.7,8401711
HIV deaths,2014,North Carolina,37.0,544,6.6,8300834
HIV deaths,2013,North Carolina,37.0,528,6.4,8203696
HIV deaths,2012,North Carolina,37.0,522,6.4,8101318
HIV deaths,2011,North Carolina,37.0,541,6.8,8004877
HIV deaths,2010,North Carolina,37.0,573,7.2,7922895
HIV deaths,2009,North Carolina,37.0,623,8.1,7713809
HIV deaths,2008,North Carolina,37.0,577,7.6,7607202
HIV deaths,2017,North Dakota,38.0,3,0.5,622525
HIV deaths,2016,North Dakota,38.0,4,0.6,622315
HIV deaths,2015,North Dakota,38.0,8,1.3,623158
HIV deaths,2014,North Dakota,38.0,7,1.1,611504
HIV deaths,2013,North Dakota,38.0,5,0.8,600804
HIV deaths,2012,North Dakota,38.0,3,0.5,585281
HIV deaths,2011,North Dakota,38.0,4,0.7,573759
HIV deaths,2010,North Dakota,38.0,6,1.1,565830
HIV deaths,2009,North Dakota,38.0,5,0.9,543743
HIV deaths,2008,North Dakota,38.0,10,1.9,539992
HIV deaths,2017,Ohio,39.0,372,3.8,9813290
HIV deaths,2016,Ohio,39.0,347,3.5,9777971
HIV deaths,2015,Ohio,39.0,306,3.1,9754188
HIV deaths,2014,Ohio,39.0,349,3.6,9732167
HIV deaths,2013,Ohio,39.0,313,3.2,9696486
HIV deaths,2012,Ohio,39.0,351,3.6,9655211
HIV deaths,2011,Ohio,39.0,315,3.3,9633071
HIV deaths,2010,Ohio,39.0,288,3.0,9610790
HIV deaths,2009,Ohio,39.0,334,3.5,9616569
HIV deaths,2008,Ohio,39.0,371,3.9,9592881
HIV deaths,2017,Oklahoma,40.0,106,3.3,3238135
HIV deaths,2016,Oklahoma,40.0,122,3.8,3228505
HIV deaths,2015,Oklahoma,40.0,143,4.5,3211563
HIV deaths,2014,Oklahoma,40.0,140,4.4,3184247
HIV deaths,2013,Oklahoma,40.0,126,4.0,3161412
HIV deaths,2012,Oklahoma,40.0,115,3.7,3131983
HIV deaths,2011,Oklahoma,40.0,121,3.9,3104403
HIV deaths,2010,Oklahoma,40.0,107,3.5,3079818
HIV deaths,2009,Oklahoma,40.0,128,4.2,3014967
HIV deaths,2008,Oklahoma,40.0,126,4.2,2985437
HIV deaths,2017,Oregon,41.0,116,3.3,3519405
HIV deaths,2016,Oregon,41.0,103,3.0,3466235
HIV deaths,2015,Oregon,41.0,111,3.3,3397526
HIV deaths,2014,Oregon,41.0,102,3.0,3348642
HIV deaths,2013,Oregon,41.0,111,3.4,3309074
HIV deaths,2012,Oregon,41.0,109,3.3,3282121
HIV deaths,2011,Oregon,41.0,99,3.0,3252260
HIV deaths,2010,Oregon,41.0,97,3.0,3217465
HIV deaths,2009,Oregon,41.0,92,2.9,3197425
HIV deaths,2008,Oregon,41.0,80,2.5,3159664
HIV deaths,2017,Pennsylvania,42.0,630,5.8,10902840
HIV deaths,2016,Pennsylvania,42.0,602,5.5,10888364
HIV deaths,2015,Pennsylvania,42.0,587,5.4,10881745
HIV deaths,2014,Pennsylvania,42.0,644,5.9,10879461
HIV deaths,2013,Pennsylvania,42.0,630,5.8,10857460
HIV deaths,2012,Pennsylvania,42.0,583,5.4,10832936
HIV deaths,2011,Pennsylvania,42.0,652,6.0,10800820
HIV deaths,2010,Pennsylvania,42.0,698,6.5,10759979
HIV deaths,2009,Pennsylvania,42.0,725,6.8,10659191
HIV deaths,2008,Pennsylvania,42.0,705,6.6,10618093
HIV deaths,2017,Rhode Island,44.0,31,3.4,911239
HIV deaths,2016,Rhode Island,44.0,38,4.2,910326
HIV deaths,2015,Rhode Island,44.0,26,2.9,908366
HIV deaths,2014,Rhode Island,44.0,37,4.1,907072
HIV deaths,2013,Rhode Island,44.0,33,3.6,904623
HIV deaths,2012,Rhode Island,44.0,43,4.8,902455
HIV deaths,2011,Rhode Island,44.0,46,5.1,899628
HIV deaths,2010,Rhode Island,44.0,37,4.1,898501
HIV deaths,2009,Rhode Island,44.0,42,4.7,894466
HIV deaths,2008,Rhode Island,44.0,45,5.0,893608
HIV deaths,2017,South Carolina,45.0,328,7.8,4230737
HIV deaths,2016,South Carolina,45.0,336,8.1,4171070
HIV deaths,2015,South Carolina,45.0,291,7.1,4109463
HIV deaths,2014,South Carolina,45.0,331,8.2,4046632
HIV deaths,2013,South Carolina,45.0,320,8.0,3988907
HIV deaths,2012,South Carolina,45.0,315,8.0,3939204
HIV deaths,2011,South Carolina,45.0,328,8.4,3893958
HIV deaths,2010,South Carolina,45.0,336,8.7,3857440
HIV deaths,2009,South Carolina,45.0,370,9.8,3780746
HIV deaths,2008,South Carolina,45.0,375,10.0,3732320
HIV deaths,2017,South Dakota,46.0,8,1.1,713932
HIV deaths,2016,South Dakota,46.0,11,1.6,704961
HIV deaths,2015,South Dakota,46.0,7,1.0,697811
HIV deaths,2014,South Dakota,46.0,10,1.4,694500
HIV deaths,2013,South Dakota,46.0,9,1.3,689289
HIV deaths,2012,South Dakota,46.0,10,1.5,682418
HIV deaths,2011,South Dakota,46.0,7,1.0,673889
HIV deaths,2010,South Dakota,46.0,12,1.8,668043
HIV deaths,2009,South Dakota,46.0,13,1.9,667951
HIV deaths,2008,South Dakota,46.0,10,1.5,661864
HIV deaths,2017,Tennessee,47.0,314,5.6,5631232
HIV deaths,2016,Tennessee,47.0,327,5.9,5570308
HIV deaths,2015,Tennessee,47.0,341,6.2,5518921
HIV deaths,2014,Tennessee,47.0,331,6.0,5471517
HIV deaths,2013,Tennessee,47.0,331,6.1,5424065
HIV deaths,2012,Tennessee,47.0,342,6.4,5379876
HIV deaths,2011,Tennessee,47.0,323,6.1,5326756
HIV deaths,2010,Tennessee,47.0,371,7.0,5282732
HIV deaths,2009,Tennessee,47.0,427,8.2,5219117
HIV deaths,2008,Tennessee,47.0,419,8.1,5169975
HIV deaths,2017,Texas,48.0,1399,6.1,23007851
HIV deaths,2016,Texas,48.0,1356,6.0,22647866
HIV deaths,2015,Texas,48.0,1310,5.9,22243749
HIV deaths,2014,Texas,48.0,1346,6.2,21802872
HIV deaths,2013,Texas,48.0,1223,5.7,21367395
HIV deaths,2012,Texas,48.0,1311,6.2,20998376
HIV deaths,2011,Texas,48.0,1284,6.2,20595015
HIV deaths,2010,Texas,48.0,1356,6.7,20237059
HIV deaths,2009,Texas,48.0,1509,7.7,19664635
HIV deaths,2008,Texas,48.0,1427,7.4,19307235
HIV deaths,2017,Utah,49.0,22,0.9,2430127
HIV deaths,2016,Utah,49.0,47,2.0,2371090
HIV deaths,2015,Utah,49.0,31,1.3,2314417
HIV deaths,2014,Utah,49.0,22,1.0,2271476
HIV deaths,2013,Utah,49.0,44,2.0,2233017
HIV deaths,2012,Utah,49.0,26,1.2,2191305
HIV deaths,2011,Utah,49.0,22,1.0,2154045
HIV deaths,2010,Utah,49.0,25,1.2,2119571
HIV deaths,2009,Utah,49.0,32,1.5,2126805
HIV deaths,2008,Utah,49.0,42,2.0,2086097
HIV deaths,2017,Vermont,50.0,12,2.2,542961
HIV deaths,2016,Vermont,50.0,11,2.0,541260
HIV deaths,2015,Vermont,50.0,5,0.9,541601
HIV deaths,2014,Vermont,50.0,3,0.6,540870
HIV deaths,2013,Vermont,50.0,8,1.5,540922
HIV deaths,2012,Vermont,50.0,6,1.1,539641
HIV deaths,2011,Vermont,50.0,6,1.1,539325
HIV deaths,2010,Vermont,50.0,15,2.8,537095
HIV deaths,2009,Vermont,50.0,9,1.7,535123
HIV deaths,2008,Vermont,50.0,6,1.1,533825
HIV deaths,2017,Virginia,51.0,285,4.0,7121557
HIV deaths,2016,Virginia,51.0,317,4.5,7066986
HIV deaths,2015,Virginia,51.0,277,3.9,7020016
HIV deaths,2014,Virginia,51.0,308,4.4,6970605
