Full Name,F Diag 08,F Diag Rate 08,M Diag 08,M Diag Rate 08,F Diag 09,F Diag Rate 09,M Diag 09,M Diag Rate 09,F Diag 10,F Diag Rate 10,M Diag 10,M Diag Rate 10,F Diag 11,F Diag Rate 11,M Diag 11,M Diag Rate 11,F Diag 12,F Diag Rate 12,M Diag 12,M Diag Rate 12,F Diag 13,F Diag Rate 13,M Diag 13,M Diag Rate 13,F Diag 14,F Diag Rate 14,M Diag 14,M Diag Rate 14,F Diag 15,F Diag Rate 15,M Diag 15,M Diag Rate 15,F Diag 16,F Diag Rate 16,M Diag 16,M Diag Rate 16,F Diag 17,F Diag Rate 17,M Diag 17,M Diag Rate 17,F Diag 18,F Diag Rate 18,M Diag 18,M Diag Rate 18
Pocahontas County WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Poinsett County AR,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Pointe Coupee Parish LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
Polk County AR,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0
Polk County FL,37,15.2,79,33.7,34,13.9,75,31.8,31,12,72,29.5,39,14.9,58,23.5,20,7.6,67,26.8,23,8.6,67,26.4,24,8.8,60,23.2,26,9.3,72,27.2,35,12.2,84,30.9,32,10.8,61,21.8,27,8.8,81,27.9
Polk County GA,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polk County IA,,,,,9,5,30,17.9,8,4.4,28,16.5,8,4.4,37,21.4,,,,,,,,,6,3.1,22,12,,,,,10,5.1,23,12.2,8,4,22,11.5,11,5.4,23,11.8
Polk County MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0
Polk County MO,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Polk County NC,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0
Polk County NE,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polk County OR,,,,,,,,,,,,,,,,,,,,,0,0,8,26.1,,,,,,,,,,,,,,,,,,,,
Polk County TN,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
Polk County TX,,,,,,,,,0,0,6,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polk County WI,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Pondera County MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pontotoc County MS,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,
Pontotoc County OK,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
Pope County AR,,,,,0,0,5,20.4,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pope County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pope County MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poquoson City VA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Portage County OH,,,,,,,,,,,,,0,0,6,8.9,,,,,,,,,0,0,9,13.1,,,,,0,0,7,10.2,0,0,7,10.2,0,0,6,8.7
Portage County WI,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,
Porter County IN,0,0,6,9.1,,,,,,,,,,,,,,,,,0,0,7,10.3,,,,,,,,,,,,,,,,,,,,
Portsmouth City VA,,,,,,,,,,,,,,,,,10,24.1,24,63.5,,,,,9,21.7,19,50.7,7,16.9,20,53.1,,,,,5,12.2,19,51.2,,,,
Posey County IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,
Pottawatomie County KS,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0
Pottawatomie County OK,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pottawattamie County IA,,,,,,,,,0,0,6,16,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Potter County PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potter County SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potter County TX,,,,,,,,,,,,,6,12.7,12,24.1,,,,,,,,,,,,,,,,,0,0,12,24.1,7,15.1,13,26.2,,,,
Powder River County MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Powell County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powell County MT,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Power County ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poweshiek County IA,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Powhatan County VA,0,0,7,55.1,0,0,6,46.7,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,
Prairie County AR,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Prairie County MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pratt County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Preble County OH,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,
Prentiss County MS,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Presidio County TX,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
Presque Isle County MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preston County WV,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0
Price County WI,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Prince Edward County VA,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
Prince George County VA,,,,,,,,,,,,,,,,,,,,,0,0,5,28.3,,,,,0,0,6,33.2,0,0,5,28.3,,,,,0,0,6,34.1
Prince George's County MD,157,44,306,94.2,145,40.4,266,81.4,133,35.1,311,91.3,102,26.7,272,79,77,20,248,71,97,24.9,276,78.1,97,24.6,226,63.4,93,23.5,253,70.4,76,19.2,207,57.4,93,23.4,216,59.8,90,22.6,203,56.1
Prince William County VA,19,13.3,35,24.5,10,6.7,31,21,12,7.4,40,25.3,9,5.4,23,14,6,3.5,37,22,11,6.3,39,22.7,10,5.6,19,10.9,13,7.2,31,17.4,14,7.6,29,16,15,8,35,19,18,9.5,26,14
Prince of Wales-Hyder Census Area AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providence County RI,42,15.3,70,27.7,19,6.9,74,29.2,23,8.3,68,26.8,13,4.7,61,24,17,6.1,50,19.5,16,5.7,48,18.7,13,4.6,61,23.6,16,5.7,37,14.3,17,6.1,37,14.2,14,5,51,19.6,13,4.6,47,17.9
Prowers County CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0
Pueblo County CO,,,,,,,,,,,,,,,,,,,,,5,7.3,6,9.2,0,0,5,7.6,,,,,0,0,12,17.8,,,,,,,,
Pulaski County AR,9,5.5,61,41.9,15,9.1,90,61.2,7,4.2,73,48.7,14,8.3,73,48.2,17,10.1,85,55.8,22,12.9,80,52.2,19,11.1,112,72.8,22,12.8,80,51.9,14,8.1,101,65.5,16,9.3,91,59.1,15,8.7,83,54
Pulaski County GA,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
Pulaski County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulaski County IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulaski County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulaski County MO,,,,,,,,,,,,,0,0,5,20,,,,,0,0,6,23.2,,,,,0,0,0,0,,,,,,,,,,,,
Pulaski County VA,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,
Pushmataha County OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Putnam County FL,13,41.4,9,30.3,5,16,7,23.7,8,25.3,7,22.8,10,31.9,8,26.2,6,19.2,6,19.9,5,16.1,5,16.7,0,0,5,16.7,,,,,,,,,,,,,7,21.9,7,22.7
Putnam County GA,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
Putnam County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putnam County IN,,,,,0,0,5,29.9,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
Putnam County MO,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Putnam County NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putnam County OH,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,
Putnam County TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putnam County WV,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0
Quay County NM,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen Anne's County MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens County NY,145,14.5,472,50.8,133,13.2,465,49.6,124,12.5,421,46.1,92,9.2,396,43,98,9.7,397,42.8,62,6.1,399,42.8,84,8.3,408,43.5,64,6.3,400,42.5,74,7.2,378,40.1,72,7.1,361,38.5,62,6.1,347,37.3
Quitman County GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
Quitman County MS,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabun County GA,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0
Racine County WI,,,,,,,,,,,,,,,,,5,6.1,5,6.3,,,,,,,,,,,,,,,,,,,,,,,,
Radford City VA,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0
Rains County TX,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Raleigh County WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralls County MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Ramsey County MN,14,6.4,32,16.1,22,10,47,23.5,16,7.3,44,21.7,13,5.8,32,15.6,14,6.2,38,18.3,15,6.6,23,11,10,4.4,41,19.3,16,7,25,11.7,10,4.3,29,13.4,15,6.4,34,15.6,10,4.2,33,15
Ramsey County ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randall County TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,10.9
Randolph County AL,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0
Randolph County AR,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
Randolph County GA,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0
Randolph County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randolph County IN,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
Randolph County MO,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0
Randolph County NC,,,,,,,,,,,,,0,0,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randolph County WV,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Rankin County MS,,,,,9,15,15,26.6,8,13.2,20,35.8,7,11.3,30,53.1,,,,,,,,,5,7.8,16,27.3,0,0,17,28.8,,,,,10,15,11,18.1,,,,
Ransom County ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapides Parish LA,7,12.3,12,23.2,17,29.9,17,32.8,9,16,24,46.9,10,17.7,17,33.1,5,8.9,18,35,8,14.1,25,48.4,8,14.1,19,36.7,7,12.4,22,42.6,11,19.4,32,61.9,8,14.2,14,27.2,14,25,33,64.4
Rappahannock County VA,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ravalli County MT,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rawlins County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray County MO,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reagan County TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real County TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Red Lake County MN,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Red River County TX,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,
Red River Parish LA,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
Red Willow County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Redwood County MN,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reeves County TX,,,,,0,0,5,104.3,0,0,5,70.2,0,0,5,69.7,0,0,13,178.2,0,0,15,201.9,0,0,18,236.3,,,,,0,0,15,188.4,,,,,,,,
Refugio County TX,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reno County KS,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Rensselaer County NY,5,7.4,9,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,8.9
Renville County MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Renville County ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Reynolds County MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhea County TN,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,
Rice County KS,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Rice County MN,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,
Rich County UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richardson County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
Richland County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richland County MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Richland County ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richland County OH,,,,,0,0,5,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richland County SC,32,20.1,100,69,20,12.4,125,85.2,31,18.6,105,67.3,25,14.8,96,61,26,15.2,108,67.9,27,15.6,85,52.9,20,11.4,108,66.6,19,10.7,100,60.6,16,8.9,102,61.2,21,11.6,85,50.8,23,12.6,76,45.2
Richland County WI,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Richland Parish LA,,,,,,,,,0,0,6,74.3,,,,,,,,,,,,,,,,,0,0,5,61.6,,,,,,,,,,,,
Richmond City VA,31,33.3,71,90.4,22,23.5,67,84.8,26,28,63,75.9,20,21.4,79,94.4,17,17.8,68,79.8,16,16.4,60,69.5,12,12.1,66,75.2,12,11.9,58,65,11,10.7,66,72.3,20,19.2,39,42.3,11,10.5,66,71
Richmond County GA,29,33.6,44,58.4,29,33.4,42,56.1,23,26.7,44,55.7,18,21,39,49.6,19,22.1,37,46.3,17,19.7,39,48.9,11,12.7,40,50.1,22,25.4,48,60,17,19.6,42,52.2,13,14.9,48,59.7,14,16,78,97.2
Richmond County NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond County NY,16,7.6,44,22.3,22,10.3,40,20,14,6.8,78,41.4,15,7.3,42,22.2,20,9.7,50,26.5,11,5.3,59,31.1,15,7.2,42,22.1,17,8.2,46,24.1,20,9.6,58,30.2,10,4.8,25,13,8,3.8,26,13.5
Richmond County VA,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
Riley County KS,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
Ringgold County IA,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Arriba County NM,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,5,30.8,0,0,0,0,,,,,,,,,,,,,,,,
Rio Blanco County CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Rio Grande County CO,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0
Ripley County IN,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0
Ripley County MO,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ritchie County WV,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riverside County CA,35,4.2,196,23.8,28,3.3,201,23.9,32,3.6,180,20.6,27,3,182,20.5,22,2.4,229,25.3,25,2.7,208,22.7,24,2.5,234,25.1,21,2.2,246,26,21,2.1,273,28.3,22,2.2,251,25.6,25,2.5,239,23.9
Roane County TN,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
Roane County WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
Roanoke City VA,6,14.1,13,35.7,,,,,5,11.7,15,39.3,,,,,,,,,,,,,7,16,17,43.4,,,,,,,,,,,,,,,,
Roanoke County VA,,,,,,,,,0,0,6,16.2,0,0,5,13.4,,,,,,,,,,,,,,,,,,,,,0,0,7,18.2,,,,
Roberts County SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberts County TX,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robertson County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robertson County TN,,,,,,,,,0,0,6,22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robertson County TX,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Robeson County NC,9,16.9,19,38.4,8,15,16,32.2,6,10.6,8,15.4,7,12.3,22,42.1,,,,,5,8.7,16,30.5,,,,,8,13.9,21,40.2,5,8.8,15,28.9,,,,,,,,
Rock County MN,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock County NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock County WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8,12.3,0,0,6,9.2,,,,,,,,
Rock Island County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockbridge County VA,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockcastle County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockdale County GA,,,,,,,,,5,13.5,7,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12.4,13,37.4
Rockingham County NC,5,12.4,7,19,,,,,,,,,,,,,,,,,,,,,0,0,7,18.7,0,0,5,13.4,,,,,,,,,0,0,7,18.8
Rockingham County NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockingham County VA,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockland County NY,12,9.8,16,13.6,9,7.3,11,9.3,13,10.1,10,8.3,6,4.6,22,18,7,5.3,15,12.2,7,5.3,21,16.9,6,4.5,20,16,,,,,,,,,9,6.8,19,15.1,,,,
Rockwall County TX,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,14,,,,,,,,,,,,
Roger Mills County OK,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rogers County OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolette County ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rooks County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roosevelt County MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Roosevelt County NM,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
