Full Name,F Diag 08,F Diag Rate 08,M Diag 08,M Diag Rate 08,F Diag 09,F Diag Rate 09,M Diag 09,M Diag Rate 09,F Diag 10,F Diag Rate 10,M Diag 10,M Diag Rate 10,F Diag 11,F Diag Rate 11,M Diag 11,M Diag Rate 11,F Diag 12,F Diag Rate 12,M Diag 12,M Diag Rate 12,F Diag 13,F Diag Rate 13,M Diag 13,M Diag Rate 13,F Diag 14,F Diag Rate 14,M Diag 14,M Diag Rate 14,F Diag 15,F Diag Rate 15,M Diag 15,M Diag Rate 15,F Diag 16,F Diag Rate 16,M Diag 16,M Diag Rate 16,F Diag 17,F Diag Rate 17,M Diag 17,M Diag Rate 17,F Diag 18,F Diag Rate 18,M Diag 18,M Diag Rate 18
Adams County OH,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,
Adams County PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County WA,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,
Adams County WI,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0
Addison County VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiken County SC,5,7.4,10,16.3,,,,,6,8.6,10,15.5,6,8.5,8,12.3,9,12.7,18,27.5,5,7,16,24.3,,,,,6,8.3,15,22.4,7,9.5,13,19.3,,,,,7,9.4,17,24.8
Aitkin County MN,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Alachua County FL,19,17.6,50,49,13,12,53,51.6,11,9.8,36,34.7,11,9.7,50,47.9,12,10.6,37,35.3,17,14.9,29,27.6,9,7.8,56,52.6,6,5.1,50,46.3,5,4.2,35,31.8,7,5.8,43,38.7,,,,
Alamance County NC,6,9.4,26,44.9,,,,,,,,,6,8.9,13,21.9,,,,,,,,,,,,,,,,,,,,,,,,,5,6.7,15,22.9
Alameda County CA,39,6.3,192,32,45,7.1,223,36.7,33,5.1,203,33,38,5.8,177,28.4,26,3.9,205,32.3,28,4.1,186,28.8,30,4.3,180,27.3,46,6.5,215,32,49,6.8,219,32.2,23,3.2,181,26.4,28,3.9,170,24.6
Alamosa County CO,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
