Year,Geography,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other
2014,"Iredell County, NC",35,10,74,Data suppressed,Data suppressed
2014,"Irion County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Iron County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Iron County, MO",Data suppressed,0,Data suppressed,0,Data suppressed
2014,"Iron County, UT",Data suppressed,Data suppressed,9,Data suppressed,0
2014,"Iron County, WI",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Iroquois County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Irwin County, GA",12,Data suppressed,14,Data suppressed,0
2014,"Isabella County, MI",6,Data suppressed,29,Data suppressed,Data suppressed
2014,"Isanti County, MN",6,Data suppressed,11,Data suppressed,Data suppressed
2014,"Island County, WA",8,Data suppressed,45,Data suppressed,0
2014,"Isle Of Wight County, VA",15,Data suppressed,37,Data suppressed,Data suppressed
2014,"Issaquena County, MS",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Itasca County, MN",Data suppressed,Data suppressed,10,Data suppressed,0
2014,"Itawamba County, MS",5,Data suppressed,16,Data suppressed,0
2014,"Izard County, AR",Data suppressed,Data suppressed,6,0,0
2014,"Jack County, TX",Data suppressed,Data suppressed,7,Data suppressed,0
2014,"Jackson County, AL",5,Data suppressed,14,Data suppressed,0
2014,"Jackson County, AR",13,Data suppressed,15,Data suppressed,0
2014,"Jackson County, CO",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Jackson County, FL",146,74,177,Data suppressed,Data suppressed
2014,"Jackson County, GA",15,Data suppressed,25,Data suppressed,Data suppressed
2014,"Jackson County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Jackson County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Jackson County, IN",7,Data suppressed,23,Data suppressed,0
2014,"Jackson County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Jackson County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Jackson County, MI",52,21,136,Data suppressed,Data suppressed
2014,"Jackson County, MN",Data suppressed,0,Data suppressed,Data suppressed,0
2014,"Jackson County, MO",362,154,"1,825",177,16
2014,"Jackson County, MS",56,24,135,15,9
2014,"Jackson County, NC",Data suppressed,Data suppressed,13,Data suppressed,Data suppressed
2014,"Jackson County, OH",Data suppressed,Data suppressed,16,Data suppressed,Data suppressed
