Year,Geography,Female,,Male,
2008,"Bon Homme County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bond County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bonner County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bonneville County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Boone County, AR",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Boone County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Boone County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Boone County, IN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Boone County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Boone County, MO",35,51.5,159,255.5
2008,"Boone County, NE",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Boone County, WV",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Borden County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bosque County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bossier Parish, LA",31,67.1,92,212
2008,"Botetourt County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bottineau County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Boulder County, CO",50,39.9,359,278.8
2008,"Boundary County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bourbon County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bourbon County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bowie County, TX",26,68.7,126,326.3
2008,"Bowman County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Box Butte County, NE",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Box Elder County, UT",0,0,13,68.8
2008,"Boyd County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Boyd County, NE",0,0,0,0
2008,"Boyle County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bracken County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bradford County, FL",17,161.2,101,703.5
2008,"Bradford County, PA",10,37.7,19,76.2
2008,"Bradley County, AR",5,101.4,6,120.9
2008,"Bradley County, TN",20,48,86,221.3
2008,"Branch County, MI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Brantley County, GA",6,91.7,8,126.4
2008,"Braxton County, WV",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Brazoria County, TX",63,54.2,203,164.4
2008,"Brazos County, TX",75,103.9,159,215.7
2008,"Breathitt County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Breckinridge County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bremer County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Brevard County, FL",373,157.8,702,311.8
2008,"Brewster County, TX",0,0,0,0
2008,"Briscoe County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bristol Bay Borough, AK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bristol City, VA",7,84.3,22,327.7
2008,"Bristol County, MA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bristol County, RI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Broadwater County, MT",0,0,0,0
2008,"Bronx County, NY","8,477",1411.2,"12,262",2397.7
2008,"Brooke County, WV",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Brookings County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Brooks County, GA",39,544.2,55,848.5
2008,"Brooks County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Broome County, NY",117,134.6,188,234.2
2008,"Broomfield County, CO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Broward County, FL","4,547",600.6,"9,675",1374.9
2008,"Brown County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Brown County, IN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Brown County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Brown County, MN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Brown County, NE",0,0,0,0
2008,"Brown County, OH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Brown County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Brown County, TX",15,93.1,29,186.8
2008,"Brown County, WI",20,19.7,126,125.7
2008,"Brule County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Brunswick County, NC",32,68.7,81,186.5
2008,"Brunswick County, VA",11,155,50,597.5
2008,"Bryan County, GA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bryan County, OK",5,29.1,21,128.5
2008,"Buchanan County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Buchanan County, MO",16,42.3,110,302.8
2008,"Buchanan County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Buckingham County, VA",8,130,61,787
2008,"Bucks County, PA",126,47,498,193.7
2008,"Buena Vista City, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Buena Vista County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Buffalo County, NE",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Buffalo County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Buffalo County, WI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bullitt County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Bulloch County, GA",62,209.1,96,345.1
2008,"Bullock County, AL",12,302.7,17,338.1
2008,"Buncombe County, NC",80,78.1,349,378.1
2008,"Bureau County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Burke County, GA",34,353.6,69,826.4
2008,"Burke County, NC",16,42.3,59,157.5
2008,"Burke County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Burleigh County, ND",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Burleson County, TX",0,0,11,164.5
2008,"Burlington County, NJ",158,83.4,589,319.5
2008,"Burnet County, TX",11,55.9,24,132.9
2008,"Burnett County, WI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Burt County, NE",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Butler County, AL",17,188.7,16,209.2
2008,"Butler County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Butler County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Butler County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Butler County, MO",8,44.3,13,80.8
2008,"Butler County, NE",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Butler County, OH",42,27.6,178,123.7
2008,"Butler County, PA",11,13.8,41,54.6
2008,"Butte County, CA",48,50,136,149.1
2008,"Butte County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Butte County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Butts County, GA",44,471.1,171,1557.1
2008,"Cabarrus County, NC",62,89.7,141,216.2
2008,"Cabell County, WV",32,75.6,116,302.1
2008,"Cache County, UT",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Caddo County, OK",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Caddo Parish, LA",202,183,469,485.5
