State,County,Geography,FIPS,Cases,Rate per 100000,Population,Indicator,Year
KS,Lincoln County,"Lincoln County, KS",20105,0,0,"2,540",HIV diagnoses,2018
LA,Lincoln Parish,"Lincoln Parish, LA",22061,10,24.8,"40,349",HIV diagnoses,2018
OR,Linn County,"Linn County, OR",41043,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MO,Linn County,"Linn County, MO",29115,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KS,Linn County,"Linn County, KS",20107,0,0,"8,271",HIV diagnoses,2018
IA,Linn County,"Linn County, IA",19113,18,9.6,"188,163",HIV diagnoses,2018
TX,Lipscomb County,"Lipscomb County, TX",48295,0,0,"2,755",HIV diagnoses,2018
CT,Litchfield County,"Litchfield County, CT",9005,8,5,"159,220",HIV diagnoses,2018
AR,Little River County,"Little River County, AR",5081,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TX,Live Oak County,"Live Oak County, TX",48297,0,0,"10,435",HIV diagnoses,2018
NY,Livingston County,"Livingston County, NY",36051,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MO,Livingston County,"Livingston County, MO",29117,0,0,"12,864",HIV diagnoses,2018
MI,Livingston County,"Livingston County, MI",26093,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KY,Livingston County,"Livingston County, KY",21139,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IL,Livingston County,"Livingston County, IL",17105,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
LA,Livingston Parish,"Livingston Parish, LA",22063,12,10.5,"113,980",HIV diagnoses,2018
TX,Llano County,"Llano County, TX",48299,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
WV,Logan County,"Logan County, WV",54045,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
CO,Logan County,"Logan County, CO",8075,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AR,Logan County,"Logan County, AR",5083,0,0,"18,454",HIV diagnoses,2018
OK,Logan County,"Logan County, OK",40083,0,0,"39,669",HIV diagnoses,2018
OH,Logan County,"Logan County, OH",39091,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
ND,Logan County,"Logan County, ND",38047,0,0,"1,584",HIV diagnoses,2018
NE,Logan County,"Logan County, NE",31113,0,0,617,HIV diagnoses,2018
KY,Logan County,"Logan County, KY",21141,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KS,Logan County,"Logan County, KS",20109,0,0,"2,340",HIV diagnoses,2018
IL,Logan County,"Logan County, IL",17107,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
GA,Long County,"Long County, GA",13183,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AR,Lonoke County,"Lonoke County, AR",5085,5,8.3,"60,132",HIV diagnoses,2018
OH,Lorain County,"Lorain County, OH",39093,15,5.7,"261,621",HIV diagnoses,2018
NM,Los Alamos County,"Los Alamos County, NM",35028,0,0,"16,165",HIV diagnoses,2018
CA,Los Angeles County,"Los Angeles County, CA",6037,"1,536",18,"8,528,395",HIV diagnoses,2018
TN,Loudon County,"Loudon County, TN",47105,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VA,Loudoun County,"Loudoun County, VA",51107,13,4,"324,853",HIV diagnoses,2018
VA,Louisa County,"Louisa County, VA",51109,0,0,"31,506",HIV diagnoses,2018
IA,Louisa County,"Louisa County, IA",19115,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NE,Loup County,"Loup County, NE",31115,0,0,538,HIV diagnoses,2018
OK,Love County,"Love County, OK",40085,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
