Geography,M2F Diag 08,ID Diag 08,M2M Diag 08,M2MID Diag 08,O Diag 08,M2F Diag 09,ID Diag 09,M2M Diag 09,M2MID Diag 09,O Diag 09,M2F Diag 10,ID Diag 10,M2M Diag 10,M2MID Diag 10,O Diag 10,M2F Diag 11,ID Diag 11,M2M Diag 11,M2MID Diag 11,O Diag 11,M2F Diag 12,ID Diag 12,M2M Diag 12,M2MID Diag 12,O Diag 12,M2F Diag 13,ID Diag 13,M2M Diag 13,M2MID Diag 13,O Diag 13,M2F Diag 14,ID Diag 14,M2M Diag 14,M2MID Diag 14,O Diag 14,M2F Diag 15,ID Diag 15,M2M Diag 15,M2MID Diag 15,O Diag 15,M2F Diag 16,ID Diag 16,M2M Diag 16,M2MID Diag 16,O Diag 16,M2F Diag 17,ID Diag 17,M2M Diag 17,M2MID Diag 17,O Diag 17,M2F Diag 18,ID Diag 18,M2M Diag 18,M2MID Diag 18,O Diag 18
Alpine County CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amador County CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amelia County VA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,,,,,
Amherst County VA,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,
Amite County MS,,,,,,,0,,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,
Anchorage Municipality AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson County KS,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Anderson County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson County SC,9,,5,,0,,,12,0,0,6,,7,,0,,,,,0,,0,11,,0,,0,14,,0,6,,13,,0,5,,,0,0,,0,15,,0,5,,9,,0,,0,8,,0
Anderson County TN,,,,,,,0,,0,0,,,,0,0,,,,,,,,,,,0,,6,,0,,,,,,,0,,0,0,,,,,,,,,,,,,,0,0
